Metric,Value
design_powergrid__drop__worst__net:VPWR__corner:nom_typ_1p20V_25C,0.000183403
design_powergrid__voltage__worst__net:VGND__corner:nom_typ_1p20V_25C,0.000129515
design_powergrid__drop__average__net:VGND__corner:nom_typ_1p20V_25C,0.0000540845
design_powergrid__drop__worst__net:VGND__corner:nom_typ_1p20V_25C,0.000129515
design_powergrid__voltage__worst,0.000129515
design_powergrid__voltage__worst__net:VPWR,1.19982
design_powergrid__drop__worst,0.000183403
design_powergrid__drop__worst__net:VPWR,0.000183403
design_powergrid__voltage__worst__net:VGND,0.000129515
design_powergrid__drop__worst__net:VGND,0.000129515
ir__voltage__worst,1.1999999999999999555910790149937383830547332763671875
ir__drop__avg,0.000055200000000000000043194614551822496650856919586658477783203125
ir__drop__worst,0.000183000000000000002942091015256664832122623920440673828125
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
